nohup: 忽略输入
1456237534 2809.88 22.47
1456237535 2809.75 22.47
1456237536 2810.1 22.47
1456237537 2810.1 22.47
1456237537 2810.1 22.47
1456237538 2810.11 22.47
1456237539 2810.11 22.47
1456237540 2810.0 22.47
1456237541 2810.0 22.47
1456237542 2810.33 22.47
1456237543 2810.33 22.47
1456237544 2809.78 22.47
1456237545 2809.78 22.47
1456237546 2810.03 22.47
1456237546 2809.77 22.47
1456237547 2810.04 22.47
1456237548 2809.76 22.47
1456237549 2809.99 22.47
1456237550 2809.99 22.47
1456237551 2810.0 22.47
1456237552 2810.0 22.47
1456237553 2809.75 22.47
1456237554 2809.75 22.47
1456237555 2809.73 22.47
1456237556 2809.67 22.47
1456237557 2809.63 22.47
1456237558 2809.95 22.46
1456237559 2809.91 22.46
1456237560 2809.69 22.47
1456237561 2809.57 22.47
1456237562 2810.0 22.47
1456237563 2808.63 22.47
1456237564 2809.55 22.47
1456237564 2808.93 22.47
1456237565 2808.93 22.47
1456237566 2809.62 22.47
1456237567 2809.43 22.47
1456237568 2809.23 22.47
1456237569 2809.23 22.47
1456237570 2809.02 22.47
1456237571 2808.72 22.47
1456237572 2808.97 22.47
1456237573 2808.91 22.47
1456237574 2808.92 22.47
1456237574 2808.67 22.47
1456237575 2808.62 22.47
1456237576 2808.67 22.47
1456237577 2809.0 22.47
1456237578 2809.06 22.47
1456237579 2809.18 22.47
1456237580 2809.19 22.47
1456237581 2809.31 22.47
1456237582 2809.4 22.47
1456237583 2810.03 22.47
1456237584 2810.01 22.47
1456237585 2810.08 22.47
1456237585 2810.28 22.47
1456237586 2810.34 22.47
1456237587 2810.24 22.47
1456237588 2810.49 22.47
1456237589 2810.43 22.47
1456237590 2810.39 22.47
1456237591 2810.39 22.47
1456237592 2810.44 22.47
1456237593 2810.53 22.47
1456237594 2810.46 22.47
1456237595 2810.4 22.47
1456237595 2810.59 22.47
1456237596 2810.46 22.47
1456237597 2810.4 22.47
1456237598 2810.22 22.47
1456237599 2810.26 22.47
1456237600 2810.28 22.47
1456237601 2810.03 22.47
1456237602 2810.06 22.47
1456237603 2809.96 22.47
1456237604 2809.82 22.47
1456237605 2809.78 22.47
1456237606 2809.71 22.47
1456237606 2809.67 22.47
1456237607 2809.68 22.47
1456237608 2809.58 22.47
1456237609 2809.51 22.47
1456237610 2809.46 22.47
1456237611 2809.44 22.47
1456237612 2809.46 22.47
1456237613 2809.1 22.48
1456237614 2809.38 22.48
1456237615 2809.36 22.48
1456237616 2809.3 22.48
1456237617 2809.3 22.48
1456237618 2809.33 22.48
1456237619 2809.19 22.48
1456237620 2809.19 22.48
1456237621 2809.19 22.48
1456237621 2809.2 22.48
1456237622 2809.21 22.48
1456237623 2809.26 22.48
1456237624 2809.1 22.48
1456237625 2809.11 22.47
1456237626 2809.18 22.47
1456237627 2809.17 22.47
1456237628 2809.31 22.46
1456237629 2809.29 22.46
1456237630 2809.31 22.46
1456237630 2809.31 22.46
1456237631 2809.33 22.46
1456237632 2809.33 22.46
1456237633 2809.34 22.46
1456237634 2809.34 22.46
1456237635 2809.34 22.46
1456237636 2809.34 22.46
1456237637 2809.34 22.46
1456237638 2809.34 22.46
1456237639 2809.35 22.46
1456237639 2809.39 22.46
1456237640 2809.44 22.46
1456237641 2809.48 22.46
1456237642 2809.48 22.46
1456237643 2809.99 22.46
1456237644 2809.5 22.46
1456237645 2809.85 22.47
1456237646 2809.73 22.47
1456237647 2809.84 22.47
1456237648 2809.97 22.47
1456237649 2809.98 22.47
1456237650 2809.97 22.46
1456237651 2810.01 22.46
1456237651 2810.23 22.46
1456237652 2810.31 22.46
1456237653 2810.36 22.46
1456237654 2810.4 22.46
1456237655 2810.36 22.46
1456237656 2810.36 22.46
1456237657 2810.4 22.46
1456237658 2810.02 22.46
1456237659 2810.08 22.46
1456237660 2810.48 22.46
1456237660 2810.48 22.46
1456237661 2810.57 22.46
1456237662 2810.51 22.46
1456237663 2810.85 22.46
1456237664 2810.62 22.46
1456237665 2810.58 22.48
1456237666 2810.5 22.48
1456237667 2810.5 22.48
1456237668 2810.58 22.48
1456237669 2810.37 22.48
1456237669 2810.48 22.48
1456237670 2810.38 22.48
1456237671 2810.33 22.48
1456237672 2810.34 22.48
1456237673 2810.32 22.48
1456237674 2810.3 22.47
1456237675 2810.26 22.47
1456237676 2810.26 22.47
1456237677 2810.23 22.48
1456237678 2810.23 22.48
1456237678 2810.19 22.48
1456237679 2810.16 22.48
1456237680 2810.2 22.48
1456237681 2810.19 22.48
1456237682 2810.26 22.48
1456237683 2810.27 22.48
1456237684 2810.23 22.48
1456237685 2810.29 22.48
1456237686 2810.24 22.48
1456237687 2810.23 22.48
1456237687 2810.36 22.48
1456237688 2810.36 22.48
1456237689 2810.21 22.48
1456237690 2810.4 22.48
1456237691 2810.18 22.48
1456237692 2810.19 22.48
1456237693 2810.21 22.48
1456237694 2810.81 22.48
1456237695 2810.47 22.48
1456237696 2810.35 22.49
1456237697 2811.0 22.49
1456237697 2811.01 22.5
1456237698 2811.0 22.49
1456237699 2811.08 22.49
1456237700 2811.0 22.49
1456237701 2811.02 22.49
1456237702 2811.09 22.48
1456237703 2811.1 22.48
1456237704 2811.1 22.48
1456237705 2811.04 22.48
1456237706 2811.1 22.49
1456237707 2811.19 22.49
1456237708 2811.29 22.49
1456237708 2811.29 22.49
1456237709 2811.3 22.49
1456237710 2811.5 22.49
1456237711 2811.5 22.49
1456237712 2811.5 22.49
1456237713 2811.54 22.49
1456237714 2812.0 22.49
1456237715 2812.03 22.49
1456237716 2812.0 22.49
1456237717 2812.02 22.49
1456237717 2812.11 22.49
1456237718 2812.2 22.49
1456237719 2812.12 22.49
1456237720 2812.11 22.49
1456237721 2812.18 22.49
1456237722 2812.2 22.49
1456237723 2812.11 22.49
1456237724 2812.11 22.49
1456237725 2812.05 22.49
1456237726 2812.01 22.49
1456237727 2812.01 22.49
1456237727 2812.0 22.49
1456237728 2812.0 22.49
1456237729 2811.7 22.49
1456237730 2811.5 22.49
1456237731 2811.58 22.49
1456237732 2811.49 22.49
1456237733 2811.49 22.49
1456237734 2811.43 22.49
1456237735 2811.28 22.49
1456237736 2811.26 22.49
1456237737 2811.25 22.49
1456237739 2811.24 22.49
1456237739 2811.24 22.49
1456237740 2811.17 22.49
1456237741 2811.17 22.49
1456237742 2811.17 22.49
1456237743 2811.15 22.49
1456237744 2811.15 22.49
1456237745 2811.0 22.49
1456237746 2811.0 22.5
1456237747 2811.0 22.5
1456237748 2811.0 22.5
1456237748 2811.0 22.5
1456237749 2811.0 22.51
1456237750 2811.0 22.5
1456237751 2811.0 22.5
1456237752 2811.0 22.5
1456237753 2811.0 22.5
1456237754 2811.0 22.5
1456237755 2811.0 22.5
1456237756 2811.0 22.5
1456237757 2811.0 22.5
1456237758 2811.01 22.5
1456237758 2811.01 22.5
1456237759 2811.01 22.5
1456237760 2811.01 22.5
1456237761 2811.02 22.5
1456237762 2811.02 22.5
1456237763 2811.02 22.5
1456237764 2811.02 22.5
1456237765 2811.02 22.5
1456237766 2811.02 22.5
1456237767 2811.71 22.5
1456237768 2811.71 22.5
1456237769 2811.71 22.5
1456237770 2811.7 22.5
1456237770 2811.7 22.5
1456237771 2811.7 22.5
1456237772 2811.7 22.5
1456237773 2811.7 22.5
1456237774 2811.7 22.5
1456237775 2811.99 22.51
1456237776 2811.99 22.51
1456237777 2811.99 22.5
1456237778 2811.99 22.5
1456237779 2812.0 22.5
1456237779 2812.0 22.5
1456237780 2812.0 22.5
1456237781 2812.0 22.5
1456237782 2812.43 22.5
1456237783 2812.43 22.5
1456237784 2812.42 22.5
1456237785 2812.49 22.5
1456237786 2812.64 22.5
1456237787 2812.99 22.5
1456237788 2812.91 22.5
1456237789 2812.91 22.5
1456237790 2812.65 22.5
1456237790 2812.91 22.5
1456237791 2812.43 22.5
1456237792 2812.39 22.5
1456237793 2812.22 22.5
1456237794 2812.0 22.5
1456237795 2811.82 22.5
1456237796 2811.8 22.5
1456237797 2811.72 22.5
1456237799 2811.4 22.49
1456237799 2811.5 22.49
1456237800 2811.36 22.49
1456237801 2811.64 22.49
1456237802 2812.02 22.5
1456237803 2811.73 22.5
1456237804 2812.0 22.5
1456237805 2812.01 22.5
1456237806 2812.23 22.5
1456237807 2812.37 22.49
1456237808 2812.43 22.49
1456237809 2812.67 22.49
1456237809 2812.68 22.49
1456237810 2812.75 22.49
1456237811 2812.9 22.49
1456237812 2812.98 22.49
1456237813 2812.33 22.49
1456237814 2812.0 22.49
1456237815 2812.73 22.49
1456237816 2812.73 22.49
1456237817 2812.32 22.49
1456237818 2812.42 22.49
1456237818 2812.44 22.49
1456237819 2812.42 22.49
1456237820 2812.34 22.49
1456237821 2812.29 22.49
1456237822 2812.19 22.5
1456237823 2812.18 22.5
1456237824 2812.03 22.5
1456237825 2812.14 22.5
1456237826 2812.16 22.5
1456237827 2812.0 22.49
1456237828 2811.91 22.49
1456237830 2811.98 22.49
1456237831 2811.52 22.49
1456237832 2811.98 22.49
1456237833 2811.88 22.49
1456237834 2811.75 22.49
1456237835 2811.7 22.49
1456237836 2811.93 22.5
1456237837 2812.12 22.5
1456237837 2811.93 22.5
1456237838 2812.0 22.5
1456237839 2811.95 22.5
1456237840 2811.96 22.5
1456237841 2811.96 22.5
1456237842 2811.89 22.5
1456237843 2811.96 22.5
1456237844 2811.98 22.5
1456237845 2812.0 22.5
1456237846 2812.0 22.5
1456237846 2812.0 22.5
1456237847 2811.92 22.5
1456237848 2811.97 22.5
1456237849 2811.99 22.5
1456237850 2812.0 22.5
1456237851 2812.0 22.5
1456237852 2812.3 22.5
1456237853 2812.39 22.5
1456237854 2812.42 22.5
1456237855 2812.38 22.5
1456237855 2812.51 22.5
1456237856 2812.51 22.49
1456237857 2812.71 22.49
1456237858 2812.61 22.49
1456237859 2812.47 22.49
1456237860 2812.46 22.49
1456237861 2812.45 22.49
1456237862 2812.34 22.49
1456237863 2812.3 22.49
1456237864 2812.3 22.49
1456237865 2812.27 22.49
1456237866 2812.29 22.49
1456237867 2812.24 22.49
1456237868 2812.23 22.49
1456237869 2812.36 22.49
1456237870 2812.33 22.5
1456237870 2812.3 22.5
1456237871 2812.3 22.5
1456237872 2812.25 22.5
1456237873 2812.23 22.5
1456237874 2812.11 22.5
1456237875 2812.24 22.5
1456237876 2812.27 22.5
1456237877 2812.27 22.49
1456237878 2812.01 22.49
1456237879 2812.01 22.49
1456237880 2812.27 22.49
1456237881 2812.27 22.49
1456237881 2812.74 22.49
1456237882 2812.03 22.49
1456237883 2812.03 22.49
1456237884 2812.16 22.49
1456237885 2811.92 22.49
1456237886 2811.98 22.49
1456237887 2811.92 22.49
1456237888 2811.96 22.49
1456237889 2812.09 22.49
1456237890 2812.11 22.49
1456237891 2811.79 22.49
1456237892 2811.95 22.49
1456237893 2811.95 22.49
1456237894 2811.62 22.49
1456237895 2811.83 22.49
1456237896 2811.83 22.5
1456237896 2811.62 22.5
1456237897 2811.62 22.5
1456237898 2812.13 22.5
1456237899 2812.13 22.5
1456237900 2812.13 22.5
1456237901 2812.13 22.5
1456237902 2811.5 22.5
1456237903 2811.5 22.5
1456237904 2811.6 22.5
1456237905 2811.6 22.5
1456237905 2811.77 22.49
1456237906 2811.77 22.49
1456237907 2811.77 22.49
1456237908 2812.24 22.49
1456237909 2812.34 22.49
1456237910 2812.46 22.49
1456237911 2811.98 22.49
1456237912 2811.98 22.49
1456237913 2811.86 22.49
1456237913 2811.84 22.49
1456237914 2811.96 22.49
1456237915 2812.62 22.49
1456237916 2812.26 22.49
1456237917 2812.5 22.49
1456237918 2812.34 22.49
1456237919 2812.35 22.49
1456237921 2812.27 22.49
1456237921 2812.25 22.49
1456237922 2812.34 22.49
1456237923 2812.32 22.49
1456237924 2812.34 22.49
1456237925 2812.31 22.49
1456237926 2812.33 22.49
1456237927 2812.32 22.49
1456237928 2812.34 22.49
1456237929 2812.34 22.49
1456237930 2812.34 22.49
1456237931 2812.2 22.49
1456237931 2812.19 22.49
1456237932 2812.2 22.49
1456237933 2812.34 22.49
1456237934 2812.23 22.49
1456237935 2812.34 22.49
1456237936 2812.34 22.49
1456237937 2812.3 22.49
1456237938 2812.32 22.49
1456237939 2812.33 22.49
1456237940 2812.33 22.49
1456237940 2812.48 22.49
1456237941 2812.68 22.49
1456237942 2812.74 22.49
1456237943 2812.82 22.49
1456237944 2812.9 22.49
1456237945 2812.98 22.49
1456237946 2813.0 22.49
1456237947 2812.98 22.49
1456237948 2813.1 22.49
1456237949 2813.11 22.49
1456237949 2813.19 22.49
1456237951 2813.2 22.49
1456237952 2813.24 22.49
1456237953 2813.56 22.49
1456237954 2813.56 22.49
1456237955 2813.43 22.49
1456237955 2813.1 22.49
1456237956 2813.4 22.49
1456237957 2813.51 22.49
1456237958 2812.88 22.49
1456237959 2812.96 22.49
1456237960 2813.07 22.49
1456237961 2812.61 22.49
1456237962 2813.04 22.49
1456237963 2812.91 22.49
1456237964 2812.76 22.49
1456237965 2812.81 22.49
1456237965 2812.66 22.49
1456237966 2812.61 22.49
1456237967 2812.66 22.49
1456237968 2812.66 22.49
1456237969 2812.73 22.49
1456237970 2812.78 22.49
1456237971 2813.0 22.49
1456237972 2813.08 22.49
1456237973 2813.09 22.49
1456237974 2813.14 22.49
1456237975 2813.14 22.49
1456237975 2813.32 22.49
1456237976 2813.32 22.49
1456237977 2813.39 22.49
1456237978 2813.39 22.49
1456237979 2812.99 22.49
1456237980 2812.99 22.49
1456237982 2813.0 22.49
1456237983 2813.0 22.5
1456237984 2813.0 22.5
1456237984 2813.0 22.5
1456237985 2813.0 22.5
1456237986 2813.0 22.5
1456237987 2813.3 22.5
1456237988 2813.3 22.5
1456237989 2813.3 22.5
1456237990 2813.1 22.5
1456237991 2813.1 22.5
1456237992 2813.48 22.5
1456237993 2813.47 22.5
1456237994 2812.99 22.5
1456237994 2813.17 22.5
1456237995 2813.0 22.5
1456237996 2813.1 22.5
1456237997 2813.0 22.5
1456237998 2813.11 22.5
1456237999 2813.26 22.5
1456238000 2813.29 22.5
1456238001 2812.99 22.5
1456238002 2812.98 22.5
1456238003 2812.99 22.5
1456238003 2813.48 22.5
1456238004 2813.34 22.5
1456238005 2813.4 22.5
1456238006 2813.35 22.5
1456238007 2813.35 22.5
1456238008 2813.23 22.5
1456238009 2812.55 22.5
1456238010 2812.89 22.5
1456238011 2812.55 22.5
1456238012 2812.99 22.5
1456238013 2812.67 22.5
1456238014 2812.63 22.5
1456238015 2812.58 22.5
1456238015 2812.67 22.5
1456238017 2812.56 22.5
1456238017 2813.0 22.5
1456238018 2813.03 22.5
1456238019 2813.0 22.5
1456238020 2813.13 22.5
1456238021 2813.0 22.5
1456238022 2813.12 22.5
1456238023 2813.13 22.5
1456238024 2813.18 22.5
1456238025 2813.21 22.5
1456238026 2813.21 22.5
1456238026 2813.3 22.5
1456238027 2813.27 22.5
1456238028 2813.3 22.5
1456238029 2813.31 22.5
1456238030 2813.26 22.5
1456238031 2813.25 22.5
1456238032 2813.23 22.5
1456238033 2813.0 22.5
1456238034 2812.91 22.5
1456238035 2812.91 22.5
1456238035 2812.89 22.5
1456238036 2812.83 22.5
1456238037 2812.82 22.5
1456238038 2812.73 22.5
1456238039 2812.77 22.5
1456238040 2812.7 22.5
1456238041 2812.68 22.5
1456238042 2812.3 22.5
1456238043 2812.66 22.5
1456238044 2812.66 22.5
1456238045 2812.56 22.5
1456238046 2812.7 22.5
1456238047 2812.63 22.5
1456238048 2812.61 22.5
1456238049 2812.55 22.5
1456238049 2812.95 22.5
1456238050 2812.71 22.5
1456238051 2812.88 22.5
1456238052 2812.91 22.5
1456238053 2812.98 22.5
1456238054 2812.99 22.5
1456238055 2812.98 22.5
1456238056 2812.98 22.5
1456238057 2812.97 22.5
1456238057 2812.99 22.5
1456238058 2812.91 22.5
1456238059 2812.91 22.5
1456238060 2812.9 22.5
1456238061 2812.97 22.5
1456238062 2812.96 22.5
1456238063 2812.96 22.5
1456238064 2813.14 22.5
1456238065 2812.64 22.5
1456238066 2812.61 22.5
1456238067 2812.63 22.5
1456238067 2812.5 22.5
1456238068 2812.5 22.49
1456238069 2812.52 22.49
1456238070 2812.5 22.49
1456238071 2812.42 22.49
1456238072 2812.42 22.49
1456238073 2812.32 22.49
1456238074 2812.29 22.49
1456238075 2812.19 22.49
1456238076 2812.1 22.49
1456238077 2812.15 22.49
1456238078 2812.1 22.49
1456238079 2812.45 22.49
1456238080 2812.0 22.49
1456238080 2811.83 22.49
1456238081 2811.77 22.49
1456238082 2811.65 22.49
1456238083 2811.48 22.49
1456238084 2811.48 22.49
1456238085 2811.46 22.49
1456238086 2811.46 22.49
1456238087 2811.33 22.49
1456238088 2811.33 22.49
1456238089 2811.33 22.49
1456238089 2811.3 22.49
1456238090 2811.26 22.49
1456238091 2811.23 22.49
1456238092 2811.13 22.49
1456238093 2811.19 22.49
1456238094 2811.19 22.49
1456238095 2811.0 22.49
1456238096 2811.0 22.49
1456238097 2811.13 22.49
1456238098 2811.03 22.49
1456238098 2811.03 22.49
1456238099 2811.03 22.49
1456238100 2811.0 22.49
1456238101 2811.0 22.49
1456238102 2811.0 22.49
1456238103 2810.97 22.49
1456238104 2810.97 22.49
1456238105 2810.97 22.49
1456238106 2810.97 22.49
1456238107 2810.97 22.49
1456238108 2811.71 22.49
1456238109 2811.71 22.49
1456238110 2811.71 22.49
1456238111 2811.71 22.49
1456238112 2811.71 22.49
1456238113 2811.71 22.49
1456238113 2811.71 22.49
1456238114 2811.56 22.49
1456238115 2811.56 22.49
1456238116 2811.56 22.49
1456238117 2811.56 22.49
1456238118 2811.98 22.49
1456238119 2811.98 22.49
1456238120 2812.0 22.49
1456238121 2812.0 22.49
1456238122 2812.0 22.49
1456238123 2812.18 22.49
1456238123 2812.18 22.49
1456238124 2812.11 22.49
1456238125 2812.19 22.49
1456238126 2812.74 22.49
1456238127 2812.74 22.49
1456238128 2812.66 22.49
1456238129 2812.66 22.49
1456238130 2812.39 22.49
1456238131 2812.39 22.48
1456238132 2812.56 22.48
1456238133 2812.56 22.48
1456238133 2812.48 22.48
1456238134 2812.36 22.49
1456238135 2812.46 22.49
1456238136 2812.32 22.49
1456238137 2812.38 22.49
1456238138 2812.36 22.49
1456238139 2812.47 22.49
1456238140 2812.4 22.49
1456238141 2812.32 22.49
1456238142 2812.33 22.49
1456238142 2812.27 22.49
1456238143 2812.32 22.49
1456238144 2812.26 22.49
1456238145 2812.2 22.49
1456238146 2812.23 22.49
1456238147 2812.15 22.49
1456238148 2812.22 22.49
1456238149 2812.16 22.49
1456238150 2812.13 22.49
1456238151 2812.12 22.49
1456238152 2812.12 22.49
1456238152 2812.1 22.49
1456238153 2812.1 22.49
1456238154 2812.1 22.49
1456238155 2812.1 22.49
1456238156 2812.11 22.49
1456238157 2812.11 22.49
1456238158 2812.1 22.49
1456238159 2812.1 22.49
1456238160 2812.1 22.49
1456238161 2812.1 22.49
1456238162 2812.14 22.49
1456238162 2812.15 22.49
1456238163 2812.1 22.49
1456238164 2812.1 22.49
1456238165 2812.1 22.49
1456238166 2812.13 22.49
1456238167 2812.13 22.49
1456238168 2812.12 22.49
1456238169 2812.14 22.49
1456238170 2812.15 22.49
1456238171 2812.15 22.49
1456238171 2812.2 22.49
1456238172 2812.2 22.49
1456238173 2812.22 22.49
1456238174 2812.2 22.49
1456238175 2812.18 22.49
1456238176 2812.18 22.49
1456238177 2812.21 22.49
1456238178 2812.21 22.49
1456238179 2812.2 22.49
1456238180 2812.2 22.49
1456238180 2812.16 22.49
1456238181 2812.19 22.49
1456238182 2812.2 22.49
